,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes,plage_interval
0,mobile,canceled,,,>9h
1,mobile,ended,-81.0,,retour en avance
2,connect,ended,70.0,,1h-2h
3,connect,canceled,,,>9h
4,mobile,ended,,,>9h
5,mobile,ended,-203.0,,retour en avance
6,connect,ended,-15.0,570.0,retour en avance
7,mobile,ended,-44.0,,retour en avance
8,mobile,canceled,,,>9h
9,connect,ended,23.0,,16m-30m
10,mobile,canceled,,,>9h
11,connect,canceled,,,>9h
12,mobile,ended,214.0,,3h-4h
13,mobile,ended,15.0,,1m-15m
14,mobile,canceled,,,>9h
15,connect,ended,-81.0,,retour en avance
16,mobile,ended,-156.0,,retour en avance
17,mobile,ended,66.0,,1h-2h
18,mobile,ended,215.0,,3h-4h
19,mobile,ended,58.0,420.0,46m-60m
20,connect,ended,-159.0,,retour en avance
21,mobile,ended,-16.0,,retour en avance
22,mobile,canceled,,,>9h
23,mobile,ended,,0.0,>9h
24,mobile,ended,1452.0,,>9h
25,mobile,ended,-29.0,,retour en avance
26,mobile,canceled,,,>9h
27,mobile,ended,-251.0,,retour en avance
28,mobile,ended,35.0,,31m-45m
29,mobile,ended,,,>9h
30,mobile,ended,-345.0,,retour en avance
31,mobile,canceled,,,>9h
32,mobile,canceled,,,>9h
33,mobile,ended,-26.0,,retour en avance
34,mobile,ended,,60.0,>9h
35,mobile,ended,22.0,,16m-30m
36,mobile,ended,-15.0,,retour en avance
37,connect,ended,52.0,,46m-60m
38,mobile,ended,-2.0,,retour en avance
39,connect,ended,-1.0,,retour en avance
40,connect,ended,-76.0,330.0,retour en avance
41,mobile,canceled,,,>9h
42,mobile,canceled,,,>9h
43,mobile,ended,15.0,,1m-15m
44,mobile,canceled,,,>9h
45,mobile,ended,,,>9h
46,mobile,ended,,,>9h
47,mobile,ended,-68.0,,retour en avance
48,mobile,ended,-340.0,,retour en avance
49,mobile,ended,130.0,,2h-3h
50,mobile,ended,29.0,,16m-30m
51,mobile,ended,-4.0,,retour en avance
52,mobile,ended,-160.0,,retour en avance
53,mobile,ended,-30.0,,retour en avance
54,mobile,ended,-47.0,,retour en avance
55,connect,ended,-63.0,,retour en avance
56,mobile,ended,-148.0,,retour en avance
57,mobile,ended,44.0,,31m-45m
58,mobile,ended,-98.0,,retour en avance
59,mobile,ended,-33.0,,retour en avance
60,mobile,ended,-340.0,,retour en avance
61,connect,ended,-167.0,,retour en avance
62,mobile,ended,31.0,,31m-45m
63,mobile,canceled,,,>9h
64,connect,ended,-6.0,630.0,retour en avance
65,mobile,ended,79.0,,1h-2h
66,mobile,ended,,,>9h
67,mobile,ended,30.0,,16m-30m
68,mobile,canceled,,,>9h
69,mobile,canceled,,,>9h
70,mobile,ended,33.0,,31m-45m
71,mobile,ended,-52.0,,retour en avance
72,mobile,ended,44.0,,31m-45m
73,connect,ended,-576.0,,retour en avance
74,mobile,ended,-7.0,90.0,retour en avance
75,mobile,canceled,,,>9h
76,connect,ended,-178.0,,retour en avance
77,connect,ended,37.0,,31m-45m
78,mobile,ended,24.0,,16m-30m
79,mobile,ended,40.0,,31m-45m
80,mobile,ended,137.0,,2h-3h
81,mobile,ended,249.0,,4h-5h
82,mobile,ended,23.0,,16m-30m
83,connect,ended,-108.0,,retour en avance
84,mobile,ended,-6.0,,retour en avance
85,mobile,ended,-150.0,,retour en avance
86,mobile,ended,9.0,,1m-15m
87,mobile,ended,68.0,300.0,1h-2h
88,connect,ended,38.0,,31m-45m
89,mobile,ended,-1.0,,retour en avance
90,mobile,ended,74.0,60.0,1h-2h
91,mobile,ended,-10.0,,retour en avance
92,mobile,ended,-843.0,,retour en avance
93,mobile,canceled,,,>9h
94,mobile,ended,780.0,,>9h
95,connect,ended,-130.0,,retour en avance
96,mobile,canceled,,,>9h
97,mobile,ended,271.0,,4h-5h
98,mobile,ended,-12.0,,retour en avance
99,mobile,ended,933.0,,>9h
100,mobile,canceled,,,>9h
101,mobile,canceled,,,>9h
102,mobile,ended,1967.0,,>9h
103,mobile,ended,-125.0,,retour en avance
104,mobile,ended,-96.0,,retour en avance
105,mobile,ended,205.0,,3h-4h
106,mobile,canceled,,,>9h
107,mobile,ended,18.0,0.0,16m-30m
108,mobile,ended,48.0,,46m-60m
109,mobile,ended,266.0,,4h-5h
110,mobile,ended,36.0,,31m-45m
